                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.54773,                 1.0192,                0.93589,                0.99648,                      1,                  0.995,                0.95965,                0.28098,                0.19839,                0.84321,             0.00023767,             0.00023767,             0.00023767
                      1,                0.38702,                0.28611,                0.85581,                      1,                      1,                  0.995,                0.99052,                0.17021,                0.12456,                0.80764,             0.00024022,             0.00024022,             0.00024022
